time,Temperature.2M,relHumidity.2M,totPrecip.s,Pressure
2024-05-24,25.08,45.69,0,100.06
2024-05-25,24.83,49.75,0.01,100.04
2024-05-26,27.08,36.56,0.18,99.96
2024-05-27,29.26,31.44,0,99.74
2024-05-28,24.37,54.62,0,100.06
2024-05-29,24.49,56.69,0.01,100.05
2024-05-30,24.04,50.88,0,100.2
2024-05-31,24.87,44.25,0,100.46
2024-06-01,27.49,29.81,0,100.43
2024-06-02,25.97496414,45.34492111,-0.117758743,100.1569901
2024-06-03,27.86737251,40.23135757,-0.271105677,100.0387344
2024-06-04,29.69830894,35.67318726,-0.429781914,99.91294098
2024-06-05,31.34251595,31.95572853,-0.588487208,99.78565216
2024-06-06,32.41014862,29.90323067,-0.717548728,99.68336487
2024-06-07,32.57101822,30.16293716,-0.787999988,99.63098907
2024-06-08,31.61162567,32.95190811,-0.770622611,99.64713287
2024-06-09,29.68894577,37.81228256,-0.666872561,99.72689819
2024-06-10,27.19950485,43.78696442,-0.498542428,99.84696198
2024-06-11,24.50556374,49.9870224,-0.291329384,99.9806366
2024-06-12,21.75776482,56.31441116,-0.056175128,100.1212387
2024-06-13,19.48658562,61.65145874,0.160027057,100.2348938
2024-06-14,17.86970711,65.66682434,0.335671455,100.3092194
2024-06-15,16.89129639,68.3995285,0.465304881,100.3445663
2024-06-16,16.43927002,70.03195953,0.551152349,100.3486328
2024-06-17,16.34507751,70.82637787,0.602113962,100.3332596
2024-06-18,16.45524025,71.01216888,0.628061235,100.3097229
2024-06-19,16.68214607,70.67593384,0.636307955,100.2834625
2024-06-20,16.95295334,69.90919495,0.631620526,100.2614822
2024-06-21,17.23945999,68.72679901,0.617002666,100.2467804
2024-06-22,17.53675652,67.2400589,0.594786286,100.2423096
2024-06-23,17.89728355,65.3976059,0.564105272,100.2429352
2024-06-24,18.4073925,63.0774498,0.521227479,100.2394028
2024-06-25,19.15908432,60.23127365,0.461319417,100.222641
2024-06-26,20.20976067,56.80007553,0.380717039,100.1838684
2024-06-27,21.58086205,52.81389618,0.277176976,100.1165161
2024-06-28,23.17495537,48.6102066,0.155098408,100.0246353
2024-06-29,24.82359886,44.63466644,0.023433907,99.91957855
2024-06-30,26.25689316,41.4478569,-0.101382509,99.81900787
2024-07-01,27.15144157,39.68840408,-0.196996629,99.74717712
2024-07-02,27.20694542,39.89517975,-0.238464415,99.72853851
2024-07-03,26.36619568,42.06102753,-0.215129003,99.77159882
2024-07-04,24.70262337,45.93408585,-0.124836251,99.8740387
2024-07-05,22.53513527,50.81692123,0.014025982,100.0157928
2024-07-06,20.25411034,55.93689346,0.174342066,100.1706543
2024-07-07,18.19975853,60.66332626,0.329874307,100.3146896
2024-07-08,16.59043694,64.60661316,0.461963713,100.4316101
2024-07-09,15.51119614,67.6060257,0.561500788,100.5138245
2024-07-10,14.94117069,69.66358185,0.627438605,100.5610123
2024-07-11,14.79503441,70.87210083,0.663877845,100.5777969
2024-07-12,14.96297455,71.35739899,0.677122235,100.571167
2024-07-13,15.34089184,71.2400589,0.673473418,100.5485535
2024-07-14,15.84894943,70.61342621,0.657926977,100.5162277
2024-07-15,16.43944168,69.53488922,0.633634448,100.478363
2024-07-16,17.09661293,68.02742767,0.601891577,100.4365692
2024-07-17,17.83042145,66.09050751,0.562445879,100.3899765
2024-07-18,18.66494751,63.72174072,0.51405549,100.3359222
2024-07-19,19.62090302,60.94866943,0.455351144,100.2713776
2024-07-20,20.6921978,57.87166977,0.386100858,100.1950531
2024-07-21,21.82140923,54.70143127,0.308794379,100.1097336
2024-07-22,22.88462067,51.77331924,0.230076522,100.0238037
2024-07-23,23.69969559,49.51358795,0.16112937,99.95108795
2024-07-24,24.06932831,48.34035492,0.115858309,99.90760803
2024-07-25,23.85125542,48.52396393,0.106581248,99.90618896
2024-07-26,23.02329636,50.07529449,0.138882175,99.95116425
2024-07-27,21.70466232,52.72986603,0.208609566,100.0362549
2024-07-28,20.11982346,56.038414,0.303001374,100.146759
2024-07-29,18.52617073,59.50926971,0.405209541,100.2645416
2024-07-30,17.14317703,62.72990417,0.499575883,100.3731384
2024-07-31,16.11001205,65.42760468,0.575262129,100.4610214
2024-08-01,15.47712994,67.47164154,0.627385795,100.5226212
2024-08-02,15.22275352,68.8408432,0.656153381,100.5575638
2024-08-03,15.28059101,69.58177185,0.66502583,100.5691452
2024-08-04,15.56831264,69.76940918,0.658760548,100.5624008
2024-08-05,16.00939178,69.47891998,0.641897023,100.5425415
2024-08-06,16.54647827,68.76905823,0.617835104,100.5137634
2024-08-07,17.14585304,67.67514801,0.588510275,100.4785385
2024-08-08,17.79438019,66.21331787,0.554605365,100.4375
2024-08-09,18.49237823,64.39664459,0.516012847,100.389946
2024-08-10,19.24445152,62.26171494,0.472251296,100.3348083
2024-08-11,20.04467773,59.89756393,0.4231399,100.2722015
2024-08-12,20.85816765,57.46506882,0.369985521,100.2047653
2024-08-13,21.61115074,55.19202042,0.316629231,100.1380692
2024-08-14,22.1975708,53.35041046,0.269487441,100.0803528
2024-08-15,22.50107384,52.20934296,0.236568823,100.041153
2024-08-16,22.42962265,51.96650314,0.22542648,100.0287781
2024-08-17,21.95190239,52.68186188,0.2405013,100.0474777
2024-08-18,21.11778259,54.24796295,0.281054676,100.0954819
2024-08-19,20.04979324,56.41711807,0.340935439,100.1653061
2024-08-20,18.90908432,58.87210846,0.410386205,100.2459183
2024-08-21,17.85224533,61.30566025,0.478951454,100.3258209
2024-08-22,16.99731827,63.47704697,0.538091242,100.3955994
2024-08-23,16.40828896,65.23423767,0.582600236,100.4493332
2024-08-24,16.09758949,66.50714111,0.610700369,100.4846649
2024-08-25,16.03974342,67.28622437,0.623245537,100.5021896
2024-08-26,16.18873405,67.59785461,0.622597456,100.5042953
2024-08-27,16.49363327,67.48374176,0.61159116,100.494133
2024-08-28,16.90977478,66.98694611,0.59278512,100.4746323
2024-08-29,17.40450668,66.14501953,0.568056226,100.4479828
2024-08-30,17.95761681,64.98992157,0.538521171,100.4153595
2024-08-31,18.55724144,63.55379868,0.50474453,100.3770828
2024-09-01,19.19298935,61.87950134,0.467149377,100.3331146
2024-09-02,19.84826851,60.03626633,0.426476538,100.2837601
2024-09-03,20.49299622,58.1375351,0.384177744,100.2307663
2024-09-04,21.0765152,56.35088348,0.34291932,100.1782455
2024-09-05,21.52774048,54.88122177,0.306930095,100.1324387
